Matter,FA,MD,L1,L2,L3
1,5.52E-02,3.50E-03,3.67E-03,3.55E-03,3.29E-03
1,4.79E-02,3.43E-03,3.60E-03,3.40E-03,3.28E-03
1,1.88E-01,2.18E-03,2.54E-03,2.26E-03,1.73E-03
1,1.03E-01,3.59E-03,3.97E-03,3.56E-03,3.23E-03
1,9.24E-02,3.86E-03,4.26E-03,3.75E-03,3.57E-03
1,1.22E-01,2.10E-03,2.32E-03,2.17E-03,1.82E-03
1,1.21E-01,3.05E-03,3.40E-03,3.08E-03,2.66E-03
1,6.73E-02,3.50E-03,3.70E-03,3.56E-03,3.24E-03
1,6.20E-02,2.90E-03,3.10E-03,2.85E-03,2.75E-03
1,1.89E-01,2.10E-03,2.55E-03,1.98E-03,1.77E-03
1,1.42E-01,2.54E-03,2.95E-03,2.39E-03,2.27E-03
1,1.45E-01,2.83E-03,3.26E-03,2.81E-03,2.43E-03
1,2.14E-01,2.49E-03,3.09E-03,2.33E-03,2.05E-03
1,1.22E-01,2.60E-03,2.94E-03,2.53E-03,2.32E-03
1,1.00E-01,2.74E-03,3.00E-03,2.78E-03,2.45E-03
1,1.62E-01,2.63E-03,3.11E-03,2.51E-03,2.27E-03
1,1.21E-01,2.60E-03,2.96E-03,2.49E-03,2.36E-03
1,9.53E-02,3.02E-03,3.32E-03,2.98E-03,2.75E-03
1,1.67E-01,3.04E-03,3.63E-03,2.81E-03,2.69E-03
1,4.65E-02,2.65E-03,2.78E-03,2.63E-03,2.54E-03
1,7.97E-02,2.39E-03,2.59E-03,2.39E-03,2.20E-03
1,3.14E-02,1.53E-03,1.59E-03,1.52E-03,1.49E-03
1,3.37E-02,2.50E-03,2.58E-03,2.50E-03,2.42E-03
1,3.30E-02,2.74E-03,2.84E-03,2.72E-03,2.66E-03
1,1.54E-01,1.15E-03,1.32E-03,1.17E-03,9.60E-04
1,8.85E-02,2.76E-03,3.04E-03,2.65E-03,2.59E-03
1,9.34E-02,3.08E-03,3.41E-03,2.95E-03,2.88E-03
1,0.00E+00,0.00E+00,8.21E-04,6.64E-04,5.85E-04
1,9.87E-02,1.83E-03,2.02E-03,1.83E-03,1.65E-03
1,6.51E-02,2.44E-03,2.62E-03,2.39E-03,2.32E-03
1,1.68E-01,9.07E-04,1.06E-03,9.13E-04,7.50E-04
1,5.27E-02,2.72E-03,2.87E-03,2.71E-03,2.59E-03
1,5.46E-02,1.86E-03,1.95E-03,1.89E-03,1.75E-03
1,4.86E-02,2.07E-03,2.18E-03,2.07E-03,1.97E-03
1,4.87E-02,2.24E-03,2.36E-03,2.21E-03,2.14E-03
1,5.50E-02,2.41E-03,2.55E-03,2.38E-03,2.29E-03
1,4.24E-02,3.06E-03,3.20E-03,3.02E-03,2.95E-03
1,3.13E-02,2.83E-03,2.93E-03,2.79E-03,2.77E-03
1,9.27E-02,1.82E-03,1.99E-03,1.81E-03,1.65E-03
1,4.26E-02,3.07E-03,3.20E-03,3.08E-03,2.94E-03
1,4.98E-02,2.55E-03,2.65E-03,2.58E-03,2.41E-03
1,4.52E-02,2.53E-03,2.66E-03,2.48E-03,2.45E-03
