Matter,T1,B0,ADC,FA,L1,L2,L3,RA,RD,TR,VR
1,90.24460,488.000,3.1683000E-03,2.0873000E-01,3.1683000E-03,2.6768000E-03,2.0552000E-03,1.7295000E-01,2.3660000E-03,7.9002000E-03,9.5440000E-01
1,119.44490,579.000,4.1185000E-03,3.0173000E-01,4.1185000E-03,2.5783000E-03,2.4020000E-03,2.5420000E-01,2.4902000E-03,9.0989000E-03,9.1423000E-01
1,122.68690,527.000,3.3855000E-03,1.4372000E-01,3.3855000E-03,2.7605000E-03,2.5840000E-03,1.1816000E-01,2.6723000E-03,8.7300000E-03,9.8000000E-01
1,143.34200,478.000,2.3166000E-03,1.5679000E-01,2.3166000E-03,2.0222000E-03,1.6825000E-03,1.2908000E-01,1.8524000E-03,6.0213000E-03,9.7482000E-01
1,138.30760,554.000,3.2539000E-03,1.6281000E-01,3.2539000E-03,2.5799000E-03,2.3984000E-03,1.3412000E-01,2.4892000E-03,8.2323000E-03,9.7442000E-01
1,98.53590,584.000,3.0915000E-03,8.4515000E-02,3.0915000E-03,2.8228000E-03,2.6112000E-03,6.9171000E-02,2.7170000E-03,8.5254000E-03,9.9287000E-01
1,76.58000,595.000,3.7705000E-03,1.6712000E-01,3.7705000E-03,2.9934000E-03,2.7457000E-03,1.3774000E-01,2.8695000E-03,9.5096000E-03,9.7295000E-01
1,76.45580,645.000,1.5508000E-03,1.2996000E-01,1.5508000E-03,1.2701000E-03,1.2257000E-03,1.0672000E-01,1.2479000E-03,4.0466000E-03,9.8372000E-01
1,29.90550,47.000,2.8184000E-03,7.2582000E-02,2.8184000E-03,2.7716000E-03,2.4595000E-03,5.9367000E-02,2.6155000E-03,8.0494000E-03,9.9457000E-01
1,212.44220,351.000,3.7017000E-03,2.0921000E-01,3.7017000E-03,2.8213000E-03,2.4658000E-03,1.7337000E-01,2.6436000E-03,8.9888000E-03,9.5735000E-01
1,65.94230,683.000,2.9764000E-03,1.1860000E-01,2.9764000E-03,2.5865000E-03,2.3541000E-03,9.7292000E-02,2.4703000E-03,7.9170000E-03,9.8608000E-01
